Genus	Specie	Subgenus	Author	Year
Aedes	abnormalis	Aedimorphus	Theobald	1909
Aedes	aboriginis	Ochlerotatus	Dyar	1917
Aedes	abserratus	Ochlerotatus	Felt & Young	1904
Aedes	aculeatus	Ochlerotatus	Theobald	1903
Aedes	adami	Catageiomyia	Geoffroy	1971
Aedes	adersi	Diceromyia	Edwards	1917
Aedes	aegypti	Stegomyia	Linnaeus	1762
Aedes	aenigmaticus	Ochlerotatus	Cerqueira & Costa	1946
Aedes	aerarius	Aedimorphus	McIntosh	1975
Aedes	africanus	Stegomyia	Theobald	1901
Aedes	agastyai	Tewarius	Tewari & Hiriyan	1992
Aedes	agrihanensis	Stegomyia	Bohart	1957
Aedes	aitkeni	Protomacleaya	Schick	1970
Aedes	akkeshiensis	Ochlerotatus	Tanaka	1998
Aedes	albescens	Rusticoidus	Edwards	1921
Aedes	albicosta	Neomelaniconion	Edwards	1913
Aedes	albifasciatus	Ochlerotatus	Macquart	1838
Aedes	albilabris	Rampamyia	Edwards	1925
Aedes	albineus	Ochlerotatus	Séguy	1923
Aedes	albiradius	Neomelaniconion	le Goff , Boussès & Brunhes	2007
Aedes	alboannulatus	Dobrotworskyius	Macquart	1850
Aedes	alboapicus	Protomacleaya	Schick	1970
Aedes	albocephalus	Polyleptiomyia	Theobald	1903
Aedes	albocinctus	Hopkinsius	Barraud	1924
Aedes	albodorsalis	Aedimorphus	Fontenille & Brunhes	1985
Aedes	albolateralis	Downsiomyia	Theobald	1908
Aedes	albolineatus	Scutomyia	Theobald	1904
Aedes	albomarginatus	Pseudarmigeres	Newstead	1907
Aedes	alboniveus	Downsiomyia	Barraud	1934
Aedes	albonotatus	Howardina	Coquillett	1906
Aedes	albopictus	Stegomyia	Skuse	1895
Aedes	alboscutellatus	Aedimorphus	Theobald	1905
Aedes	albotaeniatus	Danielsia	Leicester	1904
Aedes	albothorax	Neomelaniconion	Theobald	1907
Aedes	alboventralis	Aedimorphus	Theobald	1910
Aedes	alcasidi	Stegomyia	Huang	1972
Aedes	alektorovi	Bruceharrisonius	Stackelberg	1943
Aedes	alexandrei	Aedes	Gornostaeva	2005
Aedes	alius	Gilesius	Lien	1968
Aedes	allotecnon	Howardina	Kumm , Komp & Ruiz	1940
Aedes	alocasicola	Finlaya	Marks	1947
Aedes	alongi	Bothaella	Galliard & Ngu	1947
Aedes	aloponotum	Ochlerotatus	Dyar	1917
Aedes	alorensis	Stegomyia	Bonne Wepster & Brug	1932
Aedes	alternans	Mucidus	Westwood	1835
Aedes	alticola	subgenus uncertain	Bonne Wepster	1948
Aedes	amabilis	Protomacleaya	Schick	1970
Aedes	amaltheus	Stegomyia	de Meillon & Lavoipierre	1944
Aedes	amateuri	Ochlerotatus	Ortega & Zavortink	2019
Aedes	ambreensis	Ochlerotatus	Rodhain & Boutonnier	1983
Aedes	ambremontis	Paulianius	Brunhes & Boussès	2017
Aedes	amesii	Lorrainea	Ludlow	1903
Aedes	ananae	Finlaya	Knight & Laffoon	1946
Aedes	andersoni	Ochlerotatus	Edwards	1926
Aedes	andrewsi	Stegomyia	Edwards	1926
Aedes	anggiensis	Patmarksia	Bonne Wepster	1937
Aedes	angustivittatus	Ochlerotatus	Dyar & Knab	1907
Aedes	angustus	Stegomyia	Edwards	1935
Aedes	annandalei	Stegomyia	Theobald	1910
Aedes	annulipes	Ochlerotatus	Meigen	1830
Aedes	annulirostris	Christophersiomyia	Theobald	1905
Aedes	antipodeus	Ochlerotatus	Edwards	1920
Aedes	aobae	Stegomyia	Belkin	1962
Aedes	apicoannulatus	Elpeytonius	Edwards	1912
Aedes	apicoargenteus	Stegomyia	Theobald	1909
Aedes	arborealis	Howardina	Bonne Wepster & Bonne	1920
Aedes	arboricola	Scutomyia	Knight & Rozeboom	1946
Aedes	argenteitarsis	Patmarksia	Brug	1932
Aedes	argenteopunctatus	Catageiomyia	Theobald	1901
Aedes	argenteoscutellatus	Aedimorphus	Carter & Wijesundara	1948
Aedes	argenteoventralis	Pseudarmigeres	Theobald	1909
Aedes	argyrites	Howardina	Dyar & Nuñez , Tovar	1927
Aedes	argyronotum	Patmarksia	Belkin	1962
Aedes	argyrothorax	Protomacleaya	Bonne Wepster & Bonne	1920
Aedes	ashworthi	Halaedes	Edwards	1921
Aedes	assamensis	Phagomyia	Theobald	1908
Aedes	atactavittatus	Ochlerotatus	Arnell	1976
Aedes	atlanticus	Ochlerotatus	Dyar & Knab	1906
Aedes	atropalpus	Georgecraigius	Coquillett	1902
Aedes	aurantius	Mucidus	Theobald	1907
Aedes	auratus	Ochlerotatus	Grabham	1906
Aedes	aureolineatus	Howardina	Berlin	1969
Aedes	aureostriatus	Bruceharrisonius	Doleschall	1857
Aedes	auridorsum	Molpemyia	Edwards	1922
Aedes	aurifer	Ochlerotatus	Coquillett	1903
Aedes	aurimargo	Leptosomatomyia	Edwards	1922
Aedes	aurites	Howardina	Theobald	1907
Aedes	aurivittatus	Howardina	Cerqueira	1943
Aedes	auronitens	subgenus uncertain	Edwards	1922
Aedes	aurotaeniatus	Belkinius	Edwards	1922
Aedes	aurovenatus	Neomelaniconion	Worth	1960
Aedes	australiensis	subgenus uncertain	Theobald	1910
Aedes	australis	Halaedes	Erichson	1842
Aedes	avistylus	Finlaya	Brug	1939
Aedes	axitiosus	Downsiomyia	Kulasekera , Knight & Harbach	1990
Aedes	bahamensis	Howardina	Berlin	1969
Aedes	baisasi	Geoskusea	Knight & Hull	1951
Aedes	bambiotai	Aedimorphus	Geoffroy	1987
Aedes	bambusae	Stegomyia	Edwards	1935
Aedes	bambusicola	Scutomyia	Knight & Rozeboom	1946
Aedes	bananea	Diceromyia	Wolfs	1958
Aedes	bancoi	Aedimorphus	Geoffroy	1987
Aedes	bancroftianus	Ochlerotatus	Edwards	1921
Aedes	banksi	Collessius	Edwards	1922
Aedes	barnardi	Hopkinsius	Edwards	1924
Aedes	barraudi	Paraedes	Edwards	1934
Aedes	becki	Geoskusea	Belkin	1962
Aedes	bedfordi	Catageiomyia	Edwards	1936
Aedes	behningi	Ochlerotatus	Martini	1926
Aedes	bejaranoi	Ochlerotatus	Martinez , Carcavallo & Prosen	1960
Aedes	bekkui	Edwardsaedes	Mogi	1977
Aedes	belleci	Neomelaniconion	le Goff , Boussès & Brunhes	2007
Aedes	bequaerti	Neomelaniconion	Wolfs	1947
Aedes	bergerardi	Neomelaniconion	Pajot & Geoffroy	1971
Aedes	berlandi	Ochlerotatus	Séguy	1921
Aedes	berlini	Protomacleaya	Schick	1970
Aedes	bertrami	Protomacleaya	Schick	1970
Aedes	bevisi	Aedimorphus	Edwards	1915
Aedes	bhutanensis	Hulecoeteomyia	Somboon & Harbach	2020
Aedes	bicristatus	Rusticoidus	Thurman & Winkler	1950
Aedes	bimaculatus	Ochlerotatus	Coquillett	1902
Aedes	biocellatus	subgenus uncertain	Taylor	1914
Aedes	biskraensis	Ochlerotatus	Brunhes	1999
Aedes	biunguiculatus	Nyctomyia	Harbach	2014
Aedes	blacklocki	Stegomyia	Evans	1925
Aedes	bogotanus	Ochlerotatus	Arnell	1976
Aedes	boharti	Scutomyia	Knight & Rozeboom	1946
Aedes	bolensis	Neomelaniconion	Edwards	1936
