Genus	Specie	Subgenus	Author	Year
Aedeomyia	africana	Aedeomyia	Neveu-Lemaire	1906
Aedeomyia	catasticta	Aedeomyia	Knab	1909
Aedeomyia	madagascarica	Aedeomyia	Brunhes, Boussès & da Cunha, Ramos	2011
Aedeomyia	pauliani	Aedeomyia	Grjebine	1953
Aedeomyia	squamipennis	Aedeomyia	Lynch, Arribálzaga	1878
Aedeomyia	venustipes	Aedeomyia	Skuse	1889
Aedeomyia	furfurea	Lepiothauma	Enderlein	1923
Aedes	papago	Abraedes	Zavortink	1970
Aedes	mariae	Acartomyia	Sergent & Sergent	1903
Aedes	phoeniciae	Acartomyia	Coluzzi & Sabatini	1968
Aedes	zammitii	Acartomyia	Theobald	1903
Aedes	alexandrei	Aedes	Gornostaeva	2005
Aedes	cinereus	Aedes	Meigen	1818
Aedes	dahuricus	Aedes	Danilov	1987
Aedes	dmitryi	Aedes	Gornostaeva	2005
Aedes	esoensis	Aedes	Yamada	1921
Aedes	geminus	Aedes	Peus	1970
Aedes	mubiensis	Aedes	Luh & Shih	1958
Aedes	nataliae	Aedes	Gornostaeva	2005
Aedes	rossicus	Aedes	Dolbeskin , Gorickaja & Mitrofanova	1930
Aedes	sasai	Aedes	Tanaka , Mizusawa & Saugstad	1975
Aedes	valeryi	Aedes	Gornostaeva	2005
Aedes	yamadai	Aedes	Sasa , Kano & Takahasi	1950
Aedes	abnormalis	Aedimorphus	Theobald	1909
Aedes	aerarius	Aedimorphus	McIntosh	1975
Aedes	albodorsalis	Aedimorphus	Fontenille & Brunhes	1985
Aedes	alboscutellatus	Aedimorphus	Theobald	1905
Aedes	alboventralis	Aedimorphus	Theobald	1910
Aedes	argenteoscutellatus	Aedimorphus	Carter & Wijesundara	1948
Aedes	bambiotai	Aedimorphus	Geoffroy	1987
Aedes	bancoi	Aedimorphus	Geoffroy	1987
Aedes	bevisi	Aedimorphus	Edwards	1915
Aedes	caecus	Aedimorphus	Theobald	1901
Aedes	caliginosus	Aedimorphus	Graham	1910
Aedes	centropunctatus	Aedimorphus	Theobald	1913
Aedes	culicinus	Aedimorphus	Edwards	1922
Aedes	cumminsii	Aedimorphus	Theobald	1903
Aedes	dalzieli	Aedimorphus	Theobald	1910
Aedes	davidi	Aedimorphus	Basio	1971
Aedes	dentatus	Aedimorphus	Theobald	1904
Aedes	domesticus	Aedimorphus	Theobald	1901
Aedes	durbanensis	Aedimorphus	Theobald	1903
Aedes	ebogoensis	Aedimorphus	Rickenbach & Ferrara	1965
Aedes	eritreae	Aedimorphus	Lewis	1942
Aedes	fowleri	Aedimorphus	de Charmoy	1908
Aedes	gibbinsi	Aedimorphus	Edwards	1935
Aedes	gouldi	Aedimorphus	Reinert	1972
Aedes	hirsutus	Aedimorphus	Theobald	1901
Aedes	holocinctus	Aedimorphus	Edwards	1941
Aedes	jamesi	Aedimorphus	Edwards	1914
Aedes	karooensis	Aedimorphus	Muspratt	1961
Aedes	leesoni	Aedimorphus	Edwards	1932
Aedes	leptolabis	Aedimorphus	Edwards	1936
Aedes	leucarthrius	Aedimorphus	Speiser	1909
Aedes	longiseta	Aedimorphus	Edwards	1936
Aedes	lowisii	Aedimorphus	Theobald	1910
Aedes	mansouri	Aedimorphus	Qutubuddin	1959
Aedes	masoalensis	Aedimorphus	Fontenille & Brunhes	1985
Aedes	mathioti	Aedimorphus	Fontenille & Brunhes	1985
Aedes	mattinglyi	Aedimorphus	Hamon & Rickenbach	1954
Aedes	mediolineatus	Aedimorphus	Theobald	1901
Aedes	natronius	Aedimorphus	Edwards	1932
Aedes	nigricephalus	Aedimorphus	Theobald	1901
Aedes	nigrostriatus	Aedimorphus	Barraud	1927
Aedes	oakleyi	Aedimorphus	Stone	1939
Aedes	ochraceus	Aedimorphus	Theobald	1901
Aedes	ovazzai	Aedimorphus	Hamon & Adam	1959
Aedes	pachyurus	Aedimorphus	Edwards	1936
Aedes	pallidostriatus	Aedimorphus	Theobald	1907
Aedes	pampangensis	Aedimorphus	Ludlow	1905
Aedes	pipersalatus	Aedimorphus	Giles	1902
Aedes	pubescens	Aedimorphus	Edwards	1925
Aedes	punctifemoris	Aedimorphus	Ludlow	1921
Aedes	quasiunivittatus	Aedimorphus	Theobald	1901
Aedes	rickenbachi	Aedimorphus	Hamon & Adam	1959
Aedes	semlikiensis	Aedimorphus	van Someren	1950
Aedes	senyavinensis	Aedimorphus	Knight & Hurlbut	1949
