Genus	Specie	Subgenus	Author	Year
Abraedes	papago	Abraedes	Zavortink	1970
Acartomyia	mariae	Acartomyia	Sergent & Sergent	1903
Acartomyia	phoeniciae	Acartomyia	Coluzzi & Sabatini	1968
Acartomyia	zammitii	Acartomyia	Theobald	1903
Aedeomyia	africana	Aedeomyia	Neveu-Lemaire	1906
Aedeomyia	catasticta	Aedeomyia	Knab	1909
Aedeomyia	furfurea	Lepiothauma	Enderlein	1923
Aedeomyia	madagascarica	Aedeomyia	Brunhes, Boussès & da Cunha, Ramos	2011
Aedeomyia	pauliani	Aedeomyia	Grjebine	1953
Aedeomyia	squamipennis	Aedeomyia	Lynch, Arribálzaga	1878
Aedeomyia	venustipes	Aedeomyia	Skuse	1889
Aedes	alexandrei	Aedes	Gornostaeva	2005
Aedes	cinereus	Aedes	Meigen	1818
Aedes	dahuricus	Aedes	Danilov	1987
Aedes	dmitryi	Aedes	Gornostaeva	2005
Aedes	esoensis	Aedes	Yamada	1921
Aedes	geminus	Aedes	Peus	1970
Aedes	grjebinei	Pseudalbuginosus	Hamon, Taufflieb & Maillot	1957
Aedes	mubiensis	Aedes	Luh & Shih	1958
Aedes	nataliae	Aedes	Gornostaeva	2005
Aedes	rossicus	Aedes	Dolbeskin, Gorickaja & Mitrofanova	1930
Aedes	sasai	Aedes	Tanaka, Mizusawa & Saugstad	1975
Aedes	valeryi	Aedes	Gornostaeva	2005
Aedes	yamadai	Aedes	Sasa, Kano & Takahasi	1950
Aedimorphus	abnormalis	Aedimorphus	Theobald	1909
Aedimorphus	aerarius	Aedimorphus	McIntosh	1975
Aedimorphus	africanus	Aedimorphus	Theobald	1909
Aedimorphus	albodorsalis	Aedimorphus	Fontenille & Brunhes	1985
Aedimorphus	alboscutellatus	Aedimorphus	Theobald	1905
Aedimorphus	alboventralis	Aedimorphus	Theobald	1910
Aedimorphus	argenteoscutellatus	Aedimorphus	Carter & Wijesundara	1948
Aedimorphus	bambiotai	Aedimorphus	Geoffroy	1987
Aedimorphus	bancoi	Aedimorphus	Geoffroy	1987
Aedimorphus	bevisi	Aedimorphus	Edwards	1915
Aedimorphus	caecus	Aedimorphus	Theobald	1901
Aedimorphus	caliginosus	Aedimorphus	Graham	1910
Aedimorphus	centropunctatus	Aedimorphus	Theobald	1913
Aedimorphus	culicinus	Aedimorphus	Edwards	1922
Aedimorphus	cumminsii	Aedimorphus	Theobald	1903
Aedimorphus	dalzieli	Aedimorphus	Theobald	1910
Aedimorphus	davidi	Aedimorphus	Basio	1971
Aedimorphus	dentatus	Aedimorphus	Theobald	1904
Aedimorphus	domesticus	Aedimorphus	Theobald	1901
Aedimorphus	durbanensis	Aedimorphus	Theobald	1903
Aedimorphus	ebogoensis	Aedimorphus	Rickenbach & Ferrara	1965
Aedimorphus	eritreae	Aedimorphus	Lewis	1942
Aedimorphus	fisheri	Aedimorphus	Barraud	1928
Aedimorphus	fowleri	Aedimorphus	de Charmoy	1908
Aedimorphus	gibbinsi	Aedimorphus	Edwards	1935
Aedimorphus	gouldi	Aedimorphus	Reinert	1972
Aedimorphus	hirsutus	Aedimorphus	Theobald	1901
Aedimorphus	holocinctus	Aedimorphus	Edwards	1941
Aedimorphus	jamesi	Aedimorphus	Edwards	1914
Aedimorphus	karooensis	Aedimorphus	Muspratt	1961
Aedimorphus	leesoni	Aedimorphus	Edwards	1932
Aedimorphus	leptolabis	Aedimorphus	Edwards	1936
Aedimorphus	leucarthrius	Aedimorphus	Speiser	1909
Aedimorphus	longiseta	Aedimorphus	Edwards	1936
Aedimorphus	lowisii	Aedimorphus	Theobald	1910
Aedimorphus	mansouri	Aedimorphus	Qutubuddin	1959
Aedimorphus	masoalensis	Aedimorphus	Fontenille & Brunhes	1985
Aedimorphus	mathioti	Aedimorphus	Fontenille & Brunhes	1985
Aedimorphus	mattinglyi	Aedimorphus	Hamon & Rickenbach	1954
Aedimorphus	mediolineatus	Aedimorphus	Theobald	1901
Aedimorphus	natronius	Aedimorphus	Edwards	1932
Aedimorphus	nigricephalus	Aedimorphus	Theobald	1901
Aedimorphus	nigrostriatus	Aedimorphus	Barraud	1927
Aedimorphus	oakleyi	Aedimorphus	Stone	1939
Aedimorphus	ochraceus	Aedimorphus	Theobald	1901
Aedimorphus	ovazzai	Aedimorphus	Hamon & Adam	1959
Aedimorphus	pachyurus	Aedimorphus	Edwards	1936
Aedimorphus	pallidostriatus	Aedimorphus	Theobald	1907
Aedimorphus	pampangensis	Aedimorphus	Ludlow	1905
Aedimorphus	pipersalatus	Aedimorphus	Giles	1902
Aedimorphus	pubescens	Aedimorphus	Edwards	1925
Aedimorphus	punctifemoris	Aedimorphus	Ludlow	1921
Aedimorphus	quasiunivittatus	Aedimorphus	Theobald	1901
Aedimorphus	rickenbachi	Aedimorphus	Hamon & Adam	1959
Aedimorphus	semlikiensis	Aedimorphus	van Someren	1950
Aedimorphus	senyavinensis	Aedimorphus	Knight & Hurlbut	1949
Aedimorphus	stenoetrus	Aedimorphus	Theobald	1907
Aedimorphus	subdentatus	Aedimorphus	Edwards	1936
Aedimorphus	taeniatus	Aedimorphus	Leicester	1908
Aedimorphus	taeniorhynchoides	Aedimorphus	Christophers	1911
Aedimorphus	tauffliebi	Aedimorphus	Rickenbach & Ferrara	1965
Aedimorphus	tricholabis	Aedimorphus	Edwards	1941
Aedimorphus	trimaculatus	Aedimorphus	Theobald	1905
Aedimorphus	trukensis	Aedimorphus	Bohart	1957
Aedimorphus	vexans	Aedimorphus	Meigen	1830
Aedimorphus	wigglesworthi	Aedimorphus	Edwards	1941
Alanstonea	brevitibia	Alanstonea	Edwards	1914
Alanstonea	treubi	Alanstonea	de Meijere	1910
Albuginosus	gilliesi	Albuginosus	van Someren	1962
Albuginosus	haworthi	Albuginosus	Edwards	1923
Albuginosus	kapretwae	Albuginosus	Edwards	1941
Albuginosus	kennethi	Albuginosus	Muspratt	1956
Albuginosus	marshallii	Albuginosus	Theobald	1901
Albuginosus	ngong	Albuginosus	van Someren	1950
Albuginosus	stokesi	Albuginosus	Evans	1929
Albuginosus	teesdalei	Albuginosus	van Someren	1954
Albuginosus	capensis	Albuginosus	Edwards	1924
Anopheles	aberrans	Anopheles	Harrison & Scanlon	1975
Anopheles	acaci	Anopheles	Baisas	1946
Anopheles	acanthotorynus	Stethomyia	Komp	1937
Anopheles	aconitus	Cellia	Dönitz	1902
Anopheles	ahomi	Anopheles	Chowdhury	1929
Anopheles	ainshamsi	Cellia	Gad, Harbach & Harrison	2006
Anopheles	aitkenii	Anopheles	James	1903
Anopheles	albertoi	Nyssorhynchus	Unti	1941
Anopheles	albimanus	Nyssorhynchus	Wiedemann	1820
Anopheles	albitarsis	Nyssorhynchus	Lynch, Arribálzaga	1878
Anopheles	albotaeniatus	Anopheles	Theobald	1903
Anopheles	algeriensis	Anopheles	Theobald	1903
Anopheles	alongensis	Anopheles	Venhuis	1940
Anopheles	amharicus	Cellia	Hunt, Wilkerson & Coetzee	2013
Anopheles	amictus	Cellia	Edwards	1921
Anopheles	anchietai	Anopheles	Corrêa & Ramalho	1968
Anopheles	annandalei	Anopheles	Prashad	1918
Anopheles	annularis	Cellia	dan der Wulp	1884
Anopheles	annulatus	Cellia	Haga	1930
Anopheles	annulipalpis	Anopheles	Lynch, Arribálzaga	1878
Anopheles	annulipes	Cellia	Walker	1856
Anopheles	anomalophyllus	Nyssorhynchus	Komp	1936
Anopheles	antunesi	Nyssorhynchus	Galvão & Franco, do, Amaral	1940
Anopheles	apicimacula	Anopheles	Dyar & Knab	1906
Anopheles	apoci	Cellia	Marsh	1933
Anopheles	aquasalis	Nyssorhynchus	Curry	1932
Anopheles	arabiensis	Cellia	Patton	1905
Anopheles	arboricolus	Anopheles	Zavortink	1970
Anopheles	ardensis	Cellia	Theobald	1905
Anopheles	argenteolobatus	Cellia	Gough	1910
Anopheles	argyritarsis	Nyssorhynchus	Robineau-Desvoidy	1827
Anopheles	argyropus	Anopheles	Swellengrebel	1914
